period,policy_rate_monthly_avg,new_mortgage_rate,outstanding_mortgage_rate,new_gap_pp,outstanding_gap_pp
2021-09,0.06,1.75,1.81,1.69,1.75
2021-10,0.25,1.86,1.81,1.61,1.56
2021-11,0.25,1.91,1.98,1.66,1.73
2021-12,0.36,1.93,1.99,1.57,1.63
2022-01,0.5,2.07,2.1,1.57,1.6
2022-02,0.5,2.12,2.19,1.62,1.69
2022-03,0.55,2.16,2.2,1.61,1.65
2022-04,0.75,2.31,2.21,1.56,1.46
2022-05,0.75,2.36,2.41,1.61,1.66
2022-06,0.87,2.4,2.41,1.53,1.54
2022-07,1.25,2.69,2.43,1.44,1.18
2022-08,1.45,2.89,2.86,1.44,1.41
2022-09,1.89,3.29,2.91,1.4,1.02
2022-10,2.25,3.66,3.35,1.41,1.1
2022-11,2.47,3.88,3.78,1.41,1.31
2022-12,2.62,3.99,3.99,1.37,1.37
2023-01,2.75,4.17,4.14,1.42,1.39
2023-02,2.75,4.19,4.23,1.44,1.48
2023-03,2.82,4.22,4.22,1.4,1.4
2023-04,3.0,4.38,4.23,1.38,1.23
2023-05,3.21,4.52,4.43,1.31,1.22
2023-06,3.39,4.69,4.66,1.3,1.27
2023-07,3.75,4.98,4.7,1.23,0.95
2023-08,3.86,5.19,5.14,1.33,1.28
2023-09,4.07,5.34,5.16,1.27,1.09
2023-10,4.25,5.46,5.36,1.21,1.11
2023-11,4.25,5.54,5.56,1.29,1.31
2023-12,4.37,5.56,5.57,1.19,1.2
2024-01,4.5,5.62,5.58,1.12,1.08
2024-02,4.5,5.66,5.7,1.16,1.2
2024-03,4.5,5.71,5.73,1.21,1.23
2024-04,4.5,5.74,5.73,1.24,1.23
2024-05,4.5,5.72,5.73,1.22,1.23
2024-06,4.5,5.72,5.72,1.22,1.22
2024-07,4.5,5.73,5.72,1.23,1.22
2024-08,4.5,5.69,5.71,1.19,1.21
2024-09,4.5,5.58,5.69,1.08,1.19
2024-10,4.5,5.53,5.68,1.03,1.18
2024-11,4.5,5.66,5.67,1.16,1.17
2024-12,4.5,5.66,5.66,1.16,1.16
2025-01,4.5,5.68,5.66,1.18,1.16
2025-02,4.5,5.66,5.65,1.16,1.15
2025-03,4.5,5.64,5.65,1.14,1.15
2025-04,4.5,5.63,5.62,1.13,1.12
2025-05,4.5,5.63,5.62,1.13,1.12
2025-06,4.41,5.57,5.62,1.16,1.21
2025-07,4.25,5.38,5.58,1.13,1.33
2025-08,4.25,5.38,5.38,1.13,1.13
2025-09,4.16,5.27,5.35,1.11,1.19
2025-10,4.0,5.1,5.32,1.1,1.32
2025-11,4.0,5.12,5.11,1.12,1.11
2025-12,4.0,5.09,5.1,1.09,1.1
2026-01,4.0,5.07,5.09,1.07,1.09
2026-02,4.0,5.07,5.09,1.07,1.09
2026-03,4.0,5.06,5.08,1.06,1.08
2026-04,4.0,5.07,5.08,1.07,1.08
2026-05,4.19,5.13,5.08,0.94,0.89
2026-06,4.25,5.23,5.09,0.98,0.84
2026-07,4.25,5.29,5.31,1.04,1.06
